control	depth	Sequence_Identity	Algorithm	False_Point	True_Point	Spiked_Number	FDR	Precision	Recall	F1	Sensitivity	minimum_read_support
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	602
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	602
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	601
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	601
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	600
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	600
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	599
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	599
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	598
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	598
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	597
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	597
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	596
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	596
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	595
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	595
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	594
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	594
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	593
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	593
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	592
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	592
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	591
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	591
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	590
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	590
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	589
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	589
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	588
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	588
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	587
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	587
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	586
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	586
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	585
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	585
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	584
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	584
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	583
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	583
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	582
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	582
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	581
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	581
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	580
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	580
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	579
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	579
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	578
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	578
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	577
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	577
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	576
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	576
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	575
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	575
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	574
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	574
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	573
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	573
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	572
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	572
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	571
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	571
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	570
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	570
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	570
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	569
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	569
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	569
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	568
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	568
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	568
