control	depth	Sequence_Identity	Algorithm	False_Point	True_Point	Spiked_Number	minimum_read_support	FDR	Precision	Recall	F1	Sensitivity
negative	100GB	95%	FusionSeeker	5	0	400	256	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	256	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	256	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	256	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	4	0	400	256	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	256	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	7	1	400	256	0.875	0.125	0.0025	0.004901960784313725	0.0025
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	243	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	3	0	400	243	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	243	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	4	0	400	243	1	0	0	NA	0
negative	100GB	90%	Genion	1	0	400	243	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	5	0	400	243	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	243	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	2	0	400	243	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	243	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	4	0	400	243	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	243	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	8	1	400	243	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	242	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	3	0	400	242	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	242	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	4	0	400	242	1	0	0	NA	0
negative	100GB	90%	Genion	1	0	400	242	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	5	0	400	242	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	242	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	3	0	400	242	1	0	0	NA	0
positive	100GB	85%	Genion	1	0	400	242	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	4	0	400	242	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	242	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	8	1	400	242	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	234	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	3	0	400	234	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	234	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	4	0	400	234	1	0	0	NA	0
negative	100GB	90%	Genion	1	0	400	234	1	0	0	NA	0
negative	100GB	95%	FusionSeeker	5	0	400	234	1	0	0	NA	0
positive	100GB	85%	CTAT-LR-Fusion	1	0	400	234	1	0	0	NA	0
positive	100GB	85%	FusionSeeker	3	0	400	234	1	0	0	NA	0
positive	100GB	85%	Genion	2	0	400	234	1	0	0	NA	0
positive	100GB	90%	FusionSeeker	4	0	400	234	1	0	0	NA	0
positive	100GB	90%	Genion	1	0	400	234	1	0	0	NA	0
positive	100GB	95%	FusionSeeker	8	1	400	234	0.8888888888888888	0.1111111111111111	0.0025	0.004889975550122249	0.0025
negative	100GB	85%	CTAT-LR-Fusion	1	0	400	231	1	0	0	NA	0
negative	100GB	85%	FusionSeeker	3	0	400	231	1	0	0	NA	0
negative	100GB	85%	Genion	1	0	400	231	1	0	0	NA	0
negative	100GB	90%	FusionSeeker	4	0	400	231	1	0	0	NA	0
